PstId|PhoId|StiBezeichnungS|StiSynonymS
7162|87685|Långklänning|Långklänningar Dräkter Kläder
7163|87685|1950-tal|
7164|87685|Spetsklänning|Klänningar
7165|87685|Margaretha Ambler|
7166|87685|Märthaskolan|
7167|87685|Kunglig Vintage|
7168|87685|Föremålsbild|
7169|87686|Märke|Logotyp Logga Märken
7170|87686|Detalj|Närbild Detaljer
7171|87686|Märthaskolan|
7172|87686|Spets|Spetsar
7173|87686|Föremålsbild|
7175|87686|Kunglig Vintage|
7176|87687|Detalj|Närbild Detaljer
7177|87687|Spets|Spetsar
7178|87687|Stygn|
7179|87687|Vit|Vita Vitt
7180|87687|Föremålsbild|
7181|87687|Kunglig Vintage|
7182|87689|Långklänning|Långklänningar Dräkter Kläder
7183|87689|Ljusgrönt|Gröna
7185|87689|Guld|
7186|87689|1960-tal|
7187|87689|Margaretha Ambler|
7188|87689|Kunglig Vintage|
7189|87688|Detalj|Närbild Detaljer
7190|87688|Klänningstyg|Textilier
7191|87688|Guldtråd|Guldtrådar
7192|87688|Föremålsbild|
7193|87688|Kunglig Vintage|
7194|87690|Rutigt|Rutiga Rutor
7195|87690|Klänningstyg|Textilier
7197|87690|Blått|Blåa
7198|87690|Guldtråd|Guldtrådar
7199|87690|Kunglig Vintage|
7200|87690|Föremålsbild|
7201|87691|Långklänning|Långklänningar Dräkter Kläder
7202|87691|Rutigt|Rutiga Rutor
7203|87691|Blått|Blåa
7204|87691|Margaretha Ambler|
7205|87691|Kunglig Vintage|
7207|87691|1960-tal|
7208|87691|Föremålsbild|
7209|87692|Långklänning|Långklänningar Dräkter Kläder
7210|87692|Svart|Svarta
7211|87692|1960-tal|
7212|87692|Margaretha Ambler|
7213|87692|Kunglig Vintage|
7214|87692|Föremålsbild|
7215|87693|Detalj|Närbild Detaljer
7216|87693|Märke|Logotyp Logga Märken
7217|87693|Bellville Sassoon|
7218|87693|Föremålsbild|
7219|87693|Kunglig Vintage|
7221|87694|Pressbilder|Marknadsföring
7222|87694|Manligt - ur Gustav V:s garderob|Utställning
7223|87695|Pressbilder|Marknadsföring
7224|87695|Manligt - ur Gustav V:s garderob|Utställning
7225|87696|Pressbilder|Marknadsföring
7226|87696|Manligt - ur Gustav V:s garderob|Utställning
7227|87697|Pressbilder|Marknadsföring
7228|87697|Manligt - ur Gustav V:s garderob|Utställning
7229|87697|Herrmode|Herrmoden Trender
7230|87698|Pressbilder|Marknadsföring
7231|87698|Manligt - ur Gustav V:s garderob|Utställning
7232|87698|Hattar|Huvudbonader
7239|87949|Marknadsföring|Bild använd i marknadsföring
7240|87949|Rum A|Interiörer
7241|87950|Marknadsföring|Bild använd i marknadsföring
7242|87950|Rum A|Interiörer
7243|87950|Gustav II Adolf|Gustaf II Adolf
7244|87950|Dödsbädd|
7245|87951|Stämningsbild|Detalj Marknadsföring
7246|87951|Guld|
7248|87951|Rött|Röda
7249|87951|Webbprojektet|
7250|87950|Webbprojektet|
7251|87949|Webbprojektet|
7252|87952|Webbprojektet|
7253|87952|Detalj|Närbild Detaljer
7254|87952|Kulhål|
7255|87952|Gustav II Adolf|Gustaf II Adolf
7256|87952|Marknadsföring|Bild använd i marknadsföring
7257|87953|Webbprojektet|
7258|87953|Stämningsbild|Detalj Marknadsföring
7259|87953|Rum A|Interiörer
7260|87954|Webbprojektet|
7261|87954|Mask|Masker
7262|87954|Rum A|Interiörer
7267|87957|Webbprojektet|
7268|87957|Gustav III|
7270|87957|Ordenstecken|Ordnar
7271|87957|Stämningsbild|Detalj Marknadsföring
7272|87958|Webbprojektet|
7273|87958|Vagnhallen|Transporter
7274|87959|Webbprojektet|
7275|87959|Stämningsbild|Detalj Marknadsföring
7276|87959|Djur|
7277|87959|Vagnhallen|Transporter
7278|89016|Webbprojektet|
7279|89016|Svensk-norska riksvapnet|Unionen
7280|89016|Detalj|Närbild Detaljer
7281|87958|Kröningsvagn|Kröningsvagnar
7282|87960|Webbprojektet|
7283|87960|Lejonhuvud|Lejonhuvuden
7284|87960|Guld|
7285|87960|Stämningsbild|Detalj Marknadsföring
7286|87961|Webbprojektet|
7287|87961|Stämningsbild|Detalj Marknadsföring
7288|87961|Puttisar|Änglar Mytologi Cheruber
7289|87961|Guld|
7290|87962|Webbprojektet|
