ErgId|ErgKurztitelS|ErgArtS|EroObjId
3388|Gustav IV Adolfs bröllop|sv:Gustav_IV_Adolf|64084;64085;62145;62146;62147
3389|Karl XIII och Hedvig Elisabet Charlottas bröllop|sv:Karl_XIII|68030;68031;69480;57890;57891;69479;68033
3394|Gustaf V och Victoria av Badens bröllop|sv:Gustaf_V|63283;63284;39245;60446;69954;60445;56350;54613;54614;54615;56356;56357;56358;56359;56360;56361;56362;57508
3396|Gustaf VI Adolf och Louise Mountbattens bröllop|sv:Gustaf_VI_Adolf|56902;51617;51799
3397|Carl XVI Gustaf och drottning Silvias bröllop||43242
3398|Gustaf V och Victorias silverbröllop|sv:Gustaf_V|39279;37167;37196
3400|Gustaf V:s statsbesök i Spanien 1927||43626;43627;43628
3405|Gustav Vasas död och begravning|sv:Gustav_Vasa|47448;47449;68077
3414|Erik XIV fängslad på Örbyhus slott|sv:Erik_XIV|36773
3423|Gustav II Adolfs kröning|sv:Gustav_II_Adolf|53640;56377;42658;42659;42660;42661;42662;42663;62169;62170;62207;62291;62292;66074;52977;59448;61914;61915;62290;68494;56399;57188;46030;42668;54604;56984;56992;59825;59826;59827;59829;59830;59831;59832
3427|Träffningen vid Stuhm||32432
3432|Erik XIV:s kröning|sv:Erik_XIV|62618
3433|Karin Månsdotters kröning|sv:Karin_Månsdotter|68043
3443|Karl X Gustavs kröning|sv:Karl_X_Gustav|47001;47358;37764;53339;56815;56814;62161;62162;62163;67901;67902;42558;42581;45560;45567;45565;42763;42764;41237;41238;55407;48146;30726;30727;42751;45533;52041;55955;55956;57641;55992;61371;61372;61373;67987;67986;67988;67989;67990;55850;55851;55852;55853;57633;57634;67936;67937;67897;67898;67899;62157;62156
3444|Hedvig Eleonoras kröning|sv:Hedvig_Eleonora|42752;37766;55407
3448|Ulrika Eleonora dy:s kröning|sv:Ulrika_Eleonora_d.y.|42752;55407
3449|Fredrik I:s kröning|sv:Fredrik_I|37771;55839;45421
3450|Adolf Fredriks kröning|sv:Adolf_Fredrik|55495;67845;67844;67843;64090;64091;57993;37773;61964;61965;62619;67678;67679;67866;67906;68082;20354
