OmuId|OmuObjId|OmuTypS|OmuBemerkungM|OmuInhalt01M|ObjInventarNrS|ObjAufId|AufAufgabeS
96761|11346|Tillverkningsland||Italien|XLVI:K.II:A.a.01.|174|Hallwylska museet
96770|11531|Tillverkningsort||Marieberg|XLVI:XI:C.b.04.|174|Hallwylska museet
96775|11531|Tillverkningsland||Sverige|XLVI:XI:C.b.04.|174|Hallwylska museet
96780|11532|Tillverkningsland||Italien|XLVI:VI:D.b.06.|174|Hallwylska museet
96796|11534|Tillverkningsort||Rörstrand|XLVI:XI:E.o.01.|174|Hallwylska museet
96801|11534|Tillverkningsland||Sverige|XLVI:XI:E.o.01.|174|Hallwylska museet
96806|11535|Tillverkningsort||Rörstrand|XLVI:XI:E.d.01.|174|Hallwylska museet
96811|11535|Tillverkningsland||Sverige|XLVI:XI:E.d.01.|174|Hallwylska museet
96816|11536|Tillverkningsort||Reval|XLVI:VIII:A.a.01.|174|Hallwylska museet
96821|11536|Tillverkningsland||Ryssland|XLVI:VIII:A.a.01.|174|Hallwylska museet
96826|11537|Tillverkningsland||Italien|XLVI:VI:D.d.01.|174|Hallwylska museet
96834|11538|Tillverkningsort||Marieberg|XLVI:XI:C.h.02.|174|Hallwylska museet
96839|11538|Tillverkningsland||Sverige|XLVI:XI:C.h.02.|174|Hallwylska museet
96853|11540|Tillverkningsort||Paris|LXIII:I:B.b.15.|174|Hallwylska museet
96858|11540|Tillverkningsland||Frankrike|LXIII:I:B.b.15.|174|Hallwylska museet
97293|11617|Tillverkningsort||Frankfurt am Main|XLVI:XIII:C.a.01.|174|Hallwylska museet
97298|11617|Tillverkningsland||Tyskland|XLVI:XIII:C.a.01.|174|Hallwylska museet
97303|11618|Tillverkningsland||Holland|XLVI:V:G.d.01.|174|Hallwylska museet
97329|11621|Tillverkningsort||Antwerpen, Hoboken|XXXII:B.87.|174|Hallwylska museet
97335|11621|Tillverkningsland||Flandern|XXXII:B.87.|174|Hallwylska museet
97400|11629|Tillverkningsort||Stralsund|XLVI:XI:F.b.01.|174|Hallwylska museet
97405|11629|Tillverkningsland||Sverige|XLVI:XI:F.b.01.|174|Hallwylska museet
97410|11672|Tillverkningsort||Lenzburg|XLVI:IX:A.a.01.|174|Hallwylska museet
97415|11672|Tillverkningsland||Schweiz|XLVI:IX:A.a.01.|174|Hallwylska museet
97420|11673|Tillverkningsort||Sölvesborg|XLVI:XI:G.a.01.|174|Hallwylska museet
97425|11673|Tillverkningsland||Sverige|XLVI:XI:G.a.01.|174|Hallwylska museet
97430|11674|Tillverkningsort||Rörstrand|XLVI:XI:E.g.01.|174|Hallwylska museet
97435|11674|Tillverkningsland||Sverige|XLVI:XI:E.g.01.|174|Hallwylska museet
98163|11675|Tillverkningsort||Marieberg|XLVI:XI:C.f.01.|174|Hallwylska museet
98168|11675|Tillverkningsland||Sverige|XLVI:XI:C.f.01.|174|Hallwylska museet
98173|11676|Tillverkningsort||Reval|XLVI:VIII:A.b.01.|174|Hallwylska museet
98178|11676|Tillverkningsland||Libanon|XLVI:VIII:A.b.01.|174|Hallwylska museet
98183|11677|Tillverkningsort||Herreböe|XLVI:VII:A.b.01.|174|Hallwylska museet
98188|11677|Tillverkningsland||Norge|XLVI:VII:A.b.01.|174|Hallwylska museet
