<!--From: Ereignis_1.1.csv -->
''wikipedia-link'' are used for descriptive texts whereas ''commonsconnection'' is a relevant category on commons.

Set commonsconnection of irrelevant events to "-"

Multiple categories are separated by ";"

*död/begravning: [[:Category:Funeral of X of Sweden]]
*kröning: [[:Category:Coronation of X of Sweden]]
*bröllop:[[:Category:Wedding of X and Y of Sweden]]
===Event|Frequency|wikipedia-link|Commonsconnection===
*Slaget vid Alavo|2||
*Stora oredan<!>"Stora oredan", Moskwa|2|[[:sv:Stora oredan]]|
*Ambassad till Paris 1679|2||
*Angelique Verités begravning|2||
*400-årsminnet av Martin Luthers födelse|2||
*400-årsminnet av Martin Luthers ankomst till Wartburg|2||
*Schlesnitza-attacken 1915|2||
*Carl XVI Gustafs 50-årsdag|2||
*Riddarholmskyrkans brand|2||
*Ceremoniel för investituren av Serafimerorden|2|[[:sv:Serafimerorden]]|
*Slaget vid Reval|2|[[:sv:Sjöslaget vid Reval]]|
*Slaget vid Waterloo|2|[[:sv:Slaget vid Waterloo]]|
*Greve Bertil Bernadottes af Wisborg bröllop med Rose-Marie Heering|2|[[:sv:Prins Bertil]]|
*Wilhelmina Kempe och Walther von Hallwyls lysning|1|[[:sv:Wilhelmina von Hallwyl]]|
*Krigsbyte från Danmark (Vindinge?)|1||[[:Category:War trophies seized from Denmark by Sweden]]
*Kungl. Svea Livgardes 400-årsjubileumsfest|1||
*Carl XVI Gustaf och drottning Silvias bröllop|1||
*Karl XII:s ritt från Bender till Stralsund.|1|[[:sv:Karl XII]]|
*Greve Totts ambassad till Polen|1||
*Ulrika Eleonora dy:s begravning|1|[[:sv:Ulrika Eleonora d.y.]]|
*Stockholmsutställningen 1866|1|[[:sv:Stockholmsutställningen 1866]]|
*Erik XIV fängslad på Gripsholms slott|1|[[:sv:Erik XIV]]|
*krigsbyte från Norge-Danmark|1||[[:Category:War trophies seized by Sweden]]
*Krigsbyte från Slott Sonnewalde [=Solms], Tyskland (Brandenburg).|1||[[:Category:War trophies seized from Germany by Sweden]]
*Gustaf V:s audiens 1908 av fältmarskalken Abdullah Pascha och ambassadör Sherif Pascha|1|[[:sv:Gustaf V]]|
*Slaget vid Uddismalm (Uttismalm)|1|[[:sv:Slaget vid Uttismalm]]|
*Baltiska utställningen Malmö 1914|1|[[:sv:Baltiska utställningen]]|
*Armfelts norska fälttåg|1|[[:sv:Carl Gustaf Armfeldt d.ä.]]|
*Karl XI:s död och begravning|1|[[:sv:Karl XI]]|
*Första fredskonferensen i Haag 1899|1|[[:sv:Fredskonferensen i Haag]]|
*Erövringen av Dünamünde|1||
*Sveagruvans sista svenska flagga, Spetsbergen<!>Sveagruvan, Spetsbergen<!>Sveagruvan, Spetsbergen|1||
*Krigsbyte från Danmark (?).|1||[[:Category:War trophies seized from Denmark by Sweden]]
*Sofia Magdalenas begravning|1|[[:sv:Sofia Magdalena av Danmark]]|
*Oscar II och drottning Sofias guldbröllop 6 juni 1907.|1|[[:sv:Oscar II]]|
*Carl XVI Gustafs dop|1||
*Slaget vid Klizow|1|[[:sv:Slaget vid Kliszów]]|
*Krigsbyte från: Spansk sentens + Nicolaus Brahe en Lisbona 1655 (förs.).|1||
*Stormningen av Silistria|1||
*Affären vid Elgsö|1||
*Gustaf VI Adolfs 80-årsdag|1|[[:sv:Gustaf VI Adolf]]|
*Carl XVI Gustafs studentexamen|1||
*Riksdagens öppnande, Gustaf V|1||
*Livrustkammarens jubileum 1928|1||
*Krigsbyte från Danmark(?)|1||[[:Category:War trophies seized from Denmark by Sweden]]
*Kronprins Adolf Fredrik bröllop i Stockholm|1|[[:sv:Adolf Fredrik]]|
*Slaget vid Kirkholm|1|[[:sv:Slaget vid Kirkholm]]|
*Halshuggning av Claes Flemings son|1||
*Lovisa Ulrikas begravning|1|[[:sv:Lovisa Ulrika]]|
*Fredrik I och Luise av Badens guldbröllop|1|[[:sv:Fredrik I av Baden]]|
*Slaget vid Tannenberg 1914|1|[[:sv:Slaget vid Tannenberg]]|
*Slaget vid Breitenfeld|1|[[:sv:Slaget vid Breitenfeld]]|
*Linköpings blodbad|1|[[:sv:Linköpings blodbad]]|
*400-årsminnet av Gustaf Vasas befrielseverk|1||
*Drottning Ulrika Eleonoras död 1741|1|[[:sv:Ulrika Eleonora]]|
*Segern vid Parkumäki|1|[[:sv:Slaget vid Parkumäki]]|
*Konserthusets invigning 1926|1||
*Hedvig Elisabet Charlottas död och begravning|1|[[:sv:Hedvig Elisabet Charlotta av Holstein-Gottorp]]|
*Krigsbyte Holland|1||[[:Category:War trophies seized by Sweden]]
*Krigsbyte från Tyskland, Germersheim-Bingen|1||[[:Category:War trophies seized from Germany by Sweden]]
*Erövringen av Mainz|1||
*Prins Eugens dop|1|[[:sv:Prins Eugen]]|
*Krigsbyte från 1800-t.kat.Bielke: p.288|1||[[:Category:War trophies seized by Sweden]]
*Erövringen av Glückstadts fästning|1||
*Exposición Nacional de Minería, Madrid 1883|1|[[:en:Exposición Nacional de Minería (1883)]]|
*Intåget i Leipzig|1||
*Internationella Kvinnoförbundets kongress i Stockholm 1911|1||
*Konstindustriutställningen 1909|1|[[:sv:Konstindustriutställningen 1909]]|
*Landstormen 1914|1|[[:sv:Landstorm]]|
*Slaget vid Öland|1|[[:sv:Slaget vid Öland (1789)]]|
*Prins Gustavs begravning|1|[[:sv:Prins Gustaf]]|
*Stora daldansen (Dalupproret)|1|[[:sv:Dalupproret 1743]]|
*Ambassad till Persien 1678-82|1||
*Oscar II:s regeringsjubileum 1897|1||
*Karl XI:s dop|1|[[:sv:Karl XI]]|
*Erik XIV:s kröning|1|[[:sv:Erik XIV]]|
*Drottning Lovisas kröning|1|[[:sv:Lovisa av Nederländerna]]|
*Johan III:s bröllop|1|[[:sv:Johan III]]|
*Gustav II Adolfs födelses 300-årsjubileum|1|[[:sv:Gustav II Adolf]]|
*Gustav III:s karusell|1|[[:sv:Gustav III]]|
*Erik XIV:s död|1|[[:sv:Erik XIV]]|
*Edward VII:s kröning|1|[[:sv:Edvard VII]]|
*Krigsbyte från Danmark, Bretenberg (fam. Rantzau)|1||[[:Category:War trophies seized from Denmark by Sweden]]
*Carl XVI Gustafs regeringsjubileum|1||
*Storhertigen Fredrik I av Badens jubileum|1|[[:sv:Fredrik I av Baden]]|
*Världsutställningen i Paris 1900|1||
*Stockholmstidningens 20:e Riksskyttetävling|1||
*Pommerska kriget|1|[[:sv:Pommerska kriget]]|
*Olympiska spelen i London 1908|1|[[:sv:Olympiska sommarspelen 1908]]|
*Gustav II Adolfs gravöppning|1|[[:sv:Gustav II Adolf]]|
*Kapitulationen i Tönningen|1|[[:sv:Kapitulationen i Tönningen]]|
*Hessiska eventualkonfederationen|1||
*Weltausstellung - Världsutställningen i Wien 1873|1|[[:sv:Världsutställningen 1873]]|
*Inskeppningen till Tyskland|1||
*Slaget vid Wittstock|1|[[:sv:Slaget vid Wittstock]]|
*President Saragats besök|1|[[:sv:Giuseppe Saracco]]|
*Orientalistkongressen i Stockholm|1||
*Finlandsdagarna i Stockholm 1925|1||
*Drottning Elisabeth II:s kröning|1|[[:sv:Elizabeth II]]|
*Prins Eugens död och begravning|1|[[:sv:Prins Eugen]]|
*Stormningen av Ismail|1||
*Gustav II Adolfs död|1|[[:sv:Gustav II Adolf]]|
*Erövringen av München|1||
*Peter den stores begravningståg|1|[[:sv:Peter den store]]|
*Slaget vid Yungai|1||
*Änkedrottning Alexandra av Englands 70-års dag|1|[[:sv:Alexandra av Danmark]]|
*Oscar II:s kröning i Trondheim|1|[[:sv:Oscar II]]|
*Karin Månsdotters gravöppning|1|[[:sv:Karin Månsdotter]]|
*Slaget vid Markstedt|1||
*Stora nordiska kriget|1|[[:sv:Stora nordiska kriget]]|
*Drottning Elisabeths och George VI:s kröning|1|[[:sv:Georg VI av Storbritannien]]|
*Gustav Vasas intåg i Stockholm 1523|1|[[:sv:Gustav Vasa]]|
*Georg VI:s och drottning Elisabeths kröning|1|[[:sv:Georg VI]]|
*Slaget vid Lappo|1|[[:sv:Slaget vid Lappo]]|
*Krigsbyte från: Kostar mig på Gyllengrijpska auctionen i Stockh: i martio 1737 kiöptal d. 6 koppmtt. C G Bielke (förs., bläck).|1||
*Kristinas gravöppning|1|[[:sv:Drottning Kristina]]|
*Fredrik I:s begravning|1|[[:sv:Fredrik I]]|
*Drottning Wilhelminas av Nederländernas tjugofemåriga regering.|1|[[:sv:Wilhelmina av Nederländerna]]|
*Krigsbyte från Tyskland (se Collijn: I, s. 85 om Han).|1||[[:Category:War trophies seized from Germany by Sweden]]
*Prins Gustav av Wasas död|1|[[:sv:Gustav av Wasa]]|
*Fälttågen mot Norge, 1716-1718|1||
*Träffningen vid Stuhm|1||
*Gustav III:s dop|1|[[:sv:Gustav III]]|
*Internationellt scoutläger, Rover Moot|1||
*Kolonin Nya Sveriges 300-årsjubileum|1|[[:sv:Nya Sverige]]|
*Arktiska expeditioner av Torell och Nordenskjöld|1||
*Johan III:s död och begravning|1|[[:sv:Johan III]]|
*Krigsbyte från Aarhus, Hellerijd, Danmark|1||[[:Category:War trophies seized from Denmark by Sweden]]
