<!--From: Ausstellung_1.1.csv - col: ausOrt-->
Set commonsconnection of irrelevant places to "-"

Multiple entries are separated by ";"
===Place|Frequency|Commonsconnection===
*Nove|1|{{city{{!}}Nove}}
*Neu-Alm, Württemberg|1|{{city{{!}}Württemberg}}
*Münden|1|
*Moustiers|1|
*Malmö|1|{{city{{!}}Malmö}}
*Maastricht|1|{{city{{!}}Maastricht}}
*Lunéville|1|{{city{{!}}Lunéville}}
*Lenzburg|1|{{city{{!}}Lenzburg}}
*Ladik|1|{{city{{!}}Ladik}}
*Kula|1|{{city{{!}}Kula}}
*Kloster-Veilsdorf, Thüringen|1|Kloster-Veilsdorf, {{city{{!}}Thüringen}}
*Kejserliga Porslinsfabriken, Sankt Petersburg|1|Kejserliga Porslinsfabriken, {{city{{!}}Sankt Petersburg}}
*Karlstad|1|{{city{{!}}Karlstad}}
*Italien, Rom|1|{{city{{!}}Rom}}
*Italien, Neapel|1|{{city{{!}}Neapel}}
*Italien, Milano|1|{{city{{!}}Milano}}
*Isfahan|1|{{city{{!}}Isfahan}}
*Ilmenau, Thüringen|1|{{city{{!}}Thüringen}}
*Hubertusburg|1|{{city{{!}}Hubertusburg}}
*Hildesborg|1|
*Hila|1|
*Hanau|1|{{city{{!}}Hanau}}
*Hamadan|1|{{city{{!}}Hamadan}}
*Göteborg|1|{{city{{!}}Göteborg}}
*Gotha, Thüringen|1|Gotha, {{city{{!}}Thüringen}}
*Genève|1|{{city{{!}}Genève}}
*Frankrike, Aix|1|{{city{{!}}Aix}}
*Florens|1|
*Feraghan|1|
*Dayton, Ohio|1|
*Danmark, Odense|1|{{city{{!}}Odense}}
*Danmark, Köpenhamn|1|{{city{{!}}Köpenhamn}}
*Cozzis fabrik, Venedig|1|Cozzis fabrik, {{city{{!}}Venedig}}
*Brasilien, Rio de Janeiro|1|{{city{{!}}Rio de Janeiro}}
*Belgien, Bryssel|1|{{city{{!}}Bryssel}}
*Baranovka|1|
*Augsburg|1|{{city{{!}}Augsburg}}
*Antwerpen, Hoboken|1|
*Albanien, Elbasan|1|{{city{{!}}Elbasan}}
